"Ident_8","Kmp_Rsys",Rijstrook,"X_coord_EPSG_31370","Y_coord_EPSG_31370","beschrijvende_id","breedtegraad_EPSG_4326","lengtegraad_EPSG_4326","lve_nr","unieke_id","volledige_naam"
A0030001,"19.818",R12,"170595.3979","171369.7783",S222L30,"50.85235893","4.661229045","237.0",3671,"Snede Oud Heverlee 3"
A0039402,"19.841",R10,"170631.8931","171390.5561",S207L10,"50.85254442","4.661748479","237.0",3672,"Snede Oud Heverlee 3"
A0035031,"1.941",R10,"170444.8379","171404.6929",S202L10,"50.85267812","4.659092896","237.0",3673,"Snede Oud Heverlee 3"
R0040751,"0.238",R10,"111692.1307","191442.6231",S106L10,"51.03190201","3.822651692","123.0",1011,"complex Laarne (5)"
R0010411,"1.003",S09,"155874.9125","211775.6141",H192L10,"51.21590223","4.452837543","365.0",2342,"E313 Spitsstrook kmpt. 0.4"
R0040711,"0.137",R10,"111772.5953","191446.7535",S108L10,"51.03194444","3.823798293","123.0",1010,"complex Laarne (5)"
R0010411,"1.003",R08,"155874.9125","211775.6141",H192L00,"51.21590223","4.452837543","365.0",2341,"E313 Spitsstrook kmpt. 0.4"
A0101921,"0.059",R11,"71751.7241","204025.5171",H207L20,"51.14098126","3.250640432","148.0",2340,"complex nr 9 Oostkamp"
R0040001,"23.642",R10,"111825.3777","191429.3589",S192L10,"51.03179156","3.824552529","123.0",1008,"complex Laarne (5)"
R0040761,"0.202",R10,"112014.9903","191772.5701",H205L10,"51.03488905","3.827219835","123.0",1007,"complex Laarne (5)"
R0040721,"0.11",R10,"111929.9363","191753.7257",H207L10,"51.03471409","3.826009264","123.0",1006,"complex Laarne (5)"
R0040002,"23.299",R11,"111894.7565","191764.8461",H291L20,"51.03481174","3.825506583","123.0",1005,"complex Laarne (5)"
R0040002,"23.299",R10,"111894.7565","191764.8461",H291L10,"51.03481174","3.825506583","123.0",1004,"complex Laarne (5)"
R0040561,"0.345",R10,"111166.4823","194715.9953",S205L10,"51.06129046","3.814810813","122.0",1003,"complex Heusden (4)"
R0040521,"0.175",R10,"111161.0627","194706.3289",S207L10,"51.06120321","3.814734535","122.0",1002,"complex Heusden (4)"
R0040551,"0.256",R10,"110919.3637","194581.0093",H106L20,"51.06006051","3.811300338","122.0",1001,"complex Heusden (4)"
A0210751,"0.57",R10,"173504.0253","214883.3281",S206L10,"51.2433851","4.705340894","284.0",2332,"Complex Zoersel"
A0030001,"19.621",R10,"170412.1675","171442.0615",H222L10,"50.8530152","4.658631019","237.0",3663,"Snede Oud Heverlee 3"
A0030001,"19.621",R11,"170412.1675","171442.0615",H222L20,"50.8530152","4.658631019","237.0",3664,"Snede Oud Heverlee 3"
A0030001,"19.621",R12,"170412.1675","171442.0615",H222L30,"50.8530152","4.658631019","237.0",3665,"Snede Oud Heverlee 3"
A0039411,"19.493",R10,"170232.9577","171463.5353",S208L10,"50.85321451","4.656087218","237.0",3666,"Snede Oud Heverlee 3"
A0039411,"19.826",R10,"170593.1567","171346.4509",S206L10,"50.85214932","4.661195911","237.0",3667,"Snede Oud Heverlee 3"
A0035031,"2.1",R10,"170593.7835","171352.1469",S206L20,"50.8522005","4.661205131","237.0",3668,"Snede Oud Heverlee 3"
A0030001,"19.818",R10,"170595.3979","171369.7783",S222L10,"50.85235893","4.661229045","237.0",3669,"Snede Oud Heverlee 3"
